Data Store	Retrieval & Decryption	Sum computation	Total
Experiment number #0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	17.0	0.0	17.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	19.0	0.0	19.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
